pop1 ecotype1 pop2 ecotype2 geography ecology group reg1 reg2 geography2 group2 fst
japan japansea roberts lake allo D allo_D jp bc allo allo_D 0.824909
japan japansea roberts stream allo D allo_D jp bc allo allo_D 0.843234
japan japansea sk marine allo D allo_D jp ns allo allo_D 0.856496
japan japansea sr marine allo D allo_D jp ns allo allo_D 0.853476
japan japansea sr white allo D allo_D jp ns allo allo_D 0.855877
japan marine al marine allo S allo_S jp ns allo allo_S 0.466617
japan marine boot lake allo D allo_D jp bc allo allo_D 0.614014
japan marine boot stream allo D allo_D jp bc allo allo_D 0.61492
japan marine cl marine allo S allo_S jp ns allo allo_S 0.457534
japan marine cl white allo D allo_D jp ns allo allo_D 0.468051
japan marine constance lake allo D allo_D jp sl allo allo_D 0.639208
japan marine constance stream allo D allo_D jp sl allo allo_D 0.631522
japan marine cp marine allo S allo_S jp ns allo allo_S 0.480241
japan marine denmark marine allo S allo_S jp ne allo allo_S 0.383599
japan marine geneva lake allo D allo_D jp sl allo allo_D 0.684886
japan marine geneva stream allo D allo_D jp sl allo allo_D 0.692961
japan marine japan japansea allo D allo_D jp jp para para_D 0.803113
japan marine joes lake allo D allo_D jp bc allo allo_D 0.674731
japan marine joes stream allo D allo_D jp bc allo allo_D 0.667249
japan marine litcampbell marine allo S allo_S jp bc allo allo_S 0.18378
japan marine ln marine allo S allo_S jp ns allo allo_S 0.471473
japan marine mh marine allo S allo_S jp ns allo allo_S 0.443852
japan marine mh white allo D allo_D jp ns allo allo_D 0.442013
japan marine misty lake allo D allo_D jp bc allo allo_D 0.564973
japan marine misty stream allo D allo_D jp bc allo allo_D 0.561788
japan marine roberts lake allo D allo_D jp bc allo allo_D 0.506615
japan marine roberts stream allo D allo_D jp bc allo allo_D 0.549302
japan marine sk marine allo S allo_S jp ns allo allo_S 0.467874
japan marine sr marine allo S allo_S jp ns allo allo_S 0.457967
japan marine sr white allo D allo_D jp ns allo allo_D 0.46876
joes lake al marine allo D allo_D bc ns allo allo_D 0.679862
joes lake cl marine allo D allo_D bc ns allo allo_D 0.682652
joes lake cl white allo D allo_D bc ns allo allo_D 0.690442
joes lake cp marine allo D allo_D bc ns allo allo_D 0.674976
joes lake joes stream para D para_D bc bc para para_D 0.104698
joes lake ln marine allo D allo_D bc ns allo allo_D 0.679735
joes lake mh marine allo D allo_D bc ns allo allo_D 0.677698
joes lake mh white allo D allo_D bc ns allo allo_D 0.670422
joes lake misty lake allo S allo_S bc bc para para_S 0.436468
joes lake misty stream allo D allo_D bc bc para para_D 0.434868
joes lake roberts lake allo S allo_S bc bc para para_S 0.406841
joes lake roberts stream allo D allo_D bc bc para para_D 0.472494
joes lake sk marine allo D allo_D bc ns allo allo_D 0.690511
joes lake sr marine allo D allo_D bc ns allo allo_D 0.678525
joes lake sr white allo D allo_D bc ns allo allo_D 0.688631
joes stream al marine allo D allo_D bc ns allo allo_D 0.677521
joes stream cl marine allo D allo_D bc ns allo allo_D 0.68399
joes stream cl white allo D allo_D bc ns allo allo_D 0.687928
joes stream cp marine allo D allo_D bc ns allo allo_D 0.676306
joes stream ln marine allo D allo_D bc ns allo allo_D 0.683665
joes stream mh marine allo D allo_D bc ns allo allo_D 0.673252
joes stream mh white allo D allo_D bc ns allo allo_D 0.666737
joes stream misty lake allo D allo_D bc bc para para_D 0.427994
joes stream misty stream allo S allo_S bc bc para para_S 0.426829
joes stream roberts lake allo D allo_D bc bc para para_D 0.39579
joes stream roberts stream allo S allo_S bc bc para para_S 0.466271
joes stream sk marine allo D allo_D bc ns allo allo_D 0.69085
joes stream sr marine allo D allo_D bc ns allo allo_D 0.676186
joes stream sr white allo D allo_D bc ns allo allo_D 0.68592
litcampbell marine al marine allo S allo_S bc ns allo allo_S 0.326655
litcampbell marine boot lake allo D allo_D bc bc para para_D 0.511306
litcampbell marine boot stream allo D allo_D bc bc para para_D 0.472766
litcampbell marine cl marine allo S allo_S bc ns allo allo_S 0.328759
litcampbell marine cl white allo D allo_D bc ns allo allo_D 0.324852
litcampbell marine constance lake allo D allo_D bc sl allo allo_D 0.628234
litcampbell marine constance stream allo D allo_D bc sl allo allo_D 0.600501
litcampbell marine cp marine allo S allo_S bc ns allo allo_S 0.347444
litcampbell marine geneva lake allo D allo_D bc sl allo allo_D 0.609582
litcampbell marine geneva stream allo D allo_D bc sl allo allo_D 0.626914
litcampbell marine joes lake allo D allo_D bc bc para para_D 0.602333
litcampbell marine joes stream allo D allo_D bc bc para para_D 0.595253
litcampbell marine ln marine allo S allo_S bc ns allo allo_S 0.338122
litcampbell marine mh marine allo S allo_S bc ns allo allo_S 0.315489
litcampbell marine mh white allo D allo_D bc ns allo allo_D 0.342381
litcampbell marine misty lake allo D allo_D bc bc para para_D 0.355464
litcampbell marine misty stream allo D allo_D bc bc para para_D 0.376766
litcampbell marine roberts lake allo D allo_D bc bc para para_D 0.324655
litcampbell marine roberts stream allo D allo_D bc bc para para_D 0.369232
litcampbell marine sk marine allo S allo_S bc ns allo allo_S 0.336652
litcampbell marine sr marine allo S allo_S bc ns allo allo_S 0.328321
litcampbell marine sr white allo D allo_D bc ns allo allo_D 0.325622
ln marine mh marine allo S allo_S ns ns para para_S 0.0158824
ln marine mh white allo D allo_D ns ns para para_D 0.0228712
ln marine sk marine para S para_S ns ns para para_S 0.0036345
ln marine sr marine allo S allo_S ns ns para para_S 0.0129587
ln marine sr white allo D allo_D ns ns para para_D 0.019431
lq benthic al marine allo D allo_D bc ns allo allo_D 0.591706
lq benthic bea lake allo D allo_D bc al allo allo_D 0.457396
lq benthic boot lake allo D allo_D bc bc para para_D 0.553788
lq benthic boot stream allo D allo_D bc bc para para_D 0.543838
