"pop" "id.raw" "id" "k.value.run" "X1" "X2" "X3" "membership"
"184" "CPSE" "whtstbk_gbs_2015_L2_brds_CPSE11" "CPSE11" 1 1 NA NA 1
"185" "CPSE" "whtstbk_gbs_2015_L2_brds_CPSE12" "CPSE12" 1 1 NA NA 1
"186" "CPSE" "whtstbk_gbs_2015_L2_brds_CPSE16" "CPSE16" 1 1 NA NA 1
"187" "CPSE" "whtstbk_gbs_2015_L2_brds_CPSE2" "CPSE2" 1 1 NA NA 1
"188" "CPSE" "whtstbk_gbs_2015_L2_brds_CPSE21" "CPSE21" 1 1 NA NA 1
"189" "CPSE" "whtstbk_gbs_2015_L2_brds_CPSE32" "CPSE32" 1 1 NA NA 1
"190" "CPSE" "whtstbk_gbs_2015_L2_brds_CPSE38" "CPSE38" 1 1 NA NA 1
"191" "GC" "whtstbk_gbs_2015_L2_brds_GC10" "GC10" 1 1 NA NA 1
"192" "GC" "whtstbk_gbs_2015_L2_brds_GC12" "GC12" 1 1 NA NA 1
"193" "GC" "whtstbk_gbs_2015_L2_brds_GC15" "GC15" 1 1 NA NA 1
"194" "GC" "whtstbk_gbs_2015_L2_brds_GC16" "GC16" 1 1 NA NA 1
"195" "GC" "whtstbk_gbs_2015_L2_brds_GC19" "GC19" 1 1 NA NA 1
"196" "GC" "whtstbk_gbs_2015_L2_brds_GC28" "GC28" 1 1 NA NA 1
"197" "GC" "whtstbk_gbs_2015_L2_brds_GC32" "GC32" 1 1 NA NA 1
"198" "GC" "whtstbk_gbs_2015_L2_brds_GC4" "GC4" 1 1 NA NA 1
"199" "GC" "whtstbk_gbs_2015_L2_brds_GC40" "GC40" 1 1 NA NA 1
"200" "GC" "whtstbk_gbs_2015_L2_brds_GC45" "GC45" 1 1 NA NA 1
"201" "GC" "whtstbk_gbs_2015_L2_brds_GC7" "GC7" 1 1 NA NA 1
"202" "LD" "whtstbk_gbs_2015_L2_brds_LD2" "LD2" 1 1 NA NA 1
"203" "LN" "whtstbk_gbs_2015_L2_brds_LN11" "LN11" 1 1 NA NA 1
"204" "LN" "whtstbk_gbs_2015_L2_brds_LN14" "LN14" 1 1 NA NA 1
"205" "LN" "whtstbk_gbs_2015_L2_brds_LN15" "LN15" 1 1 NA NA 1
"206" "LN" "whtstbk_gbs_2015_L2_brds_LN17" "LN17" 1 1 NA NA 1
